SECTION 1----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

HEADER
ff ff 53 00

METADATA                                    # COORDINATES   COORDINATES
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           ea 01 da 03 43 04 db 03 43 04 e8 03 ef 01 e9 03
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           02 02 0f 04 0f 04 0b 04 11 04 18 04 05 02 1c 04
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           09 02 30 04 f1 03 2c 04 f3 03 37 04 0d 02 3d 04
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           15 02 50 04 cb 03 4c 04 c9 03 5c 04 19 02 5e 04
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           20 02 72 04 9e 03 6d 04 9d 03 7b 04 26 02 7c 04
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           2b 02 94 04 65 03 91 04 66 03 9b 04 2c 02 9e 04
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           30 02 b0 04 31 03 b1 04 31 03 bd 04 31 02 be 04
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           34 02 d5 04 07 03 d4 04 08 03 de 04 3a 02 e1 04
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           39 02 f2 04 e1 02 f3 04 e6 02 ff 04 3b 02 ff 04
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           42 02 14 05 9c 02 15 05 9e 02 1f 05 45 02 20 05
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           4a 02 31 05 87 02 32 05 80 02 3f 05 4f 02 40 05
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           9f 01 ee 03 cb 01 fa 03 c9 01 06 04 96 01 f8 03
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           88 01 06 04 d8 01 22 04 d1 01 2e 04 7f 01 11 04
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           69 01 24 04 df 01 49 04 de 01 59 04 5f 01 31 04
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           3a 01 3e 04 e4 01 74 04 e1 01 7f 04 34 01 49 04
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           12 01 56 04 ee 01 9c 04 e8 01 ab 04 0c 01 63 04
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           ed 00 6f 04 ee 01 c1 04 e7 01 cd 04 e2 00 79 04
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           c3 00 8a 04 f6 01 e8 04 f0 01 f5 04 b9 00 95 04
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           a1 00 a3 04 f8 01 12 05 f6 01 21 05 98 00 ad 04
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           7a 00 c0 04 0a 02 3f 05 00 02 49 05 75 00 cc 04
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           5b 00 d4 04 f4 01 5b 05 ec 01 67 05 55 00 e2 04
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   03 00           7f 02 bb 05 9d 02 c6 05 84 02 cb 05
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           b6 02 c8 05 d0 02 af 05 00 03 bd 05 e9 02 d7 05
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           f5 05 df 05 1a 06 bc 05 32 06 c3 05 0b 06 ea 05
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   03 00           f8 02 ee 04 1b 03 d9 04 1f 03 eb 04
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           ce 03 0d 00 e3 03 0c 00 e6 03 1a 00 d1 03 1d 00
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           01 04 01 00 4b 04 01 00 35 04 18 00 11 04 13 00
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           62 02 c9 00 7f 02 c4 00 7d 02 d4 00 6b 02 d6 00
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           bb 00 06 01 bb 00 22 01 a7 00 38 01 85 00 27 01
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   2e 00           66 00 3c 01 7f 00 4b 01 7d 00 5d 01 8f 00 62 01 9c 00 51 01 b8 00 4d 01 d9 00 47 01 de 00 5a 01 eb 00 62 01 e8 00 74 01 f8 00 7e 01 ea 00 87 01 c9 00 88 01 c3 00 72 01 cf 00 65 01 ba 00 63 01 98 00 6e 01 85 00 83 01 6a 00 90 01 52 00 83 01 3d 00 81 01 24 00 84 01 25 00 93 01 30 00 9d 01 3e 00 a3 01 4a 00 96 01 5b 00 a0 01 58 00 b1 01 43 00 b1 01 36 00 d1 01 3a 00 ea 01 3b 00 05 02 1c 00 13 02 04 00 0a 02 0a 00 f4 01 07 00 e4 01 05 00 d5 01 01 00 ca 01 01 00 c0 01 0c 00 be 01 14 00 b3 01 09 00 ae 01 02 00 a7 01 04 00 97 01 0a 00 8c 01 04 00 7d 01
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   18 00           68 01 10 02 8a 01 ed 01 a4 01 fa 01 a7 01 ec 01 94 01 e0 01 a7 01 d2 01 be 01 c9 01 e9 01 c1 01 ff 01 cb 01 0e 02 d6 01 16 02 ee 01 08 02 f1 01 00 02 f7 01 f4 01 f8 01 f3 01 0d 02 e3 01 0b 02 dd 01 16 02 ef 01 23 02 fb 01 36 02 f6 01 49 02 ea 01 4e 02 d1 01 46 02 b1 01 37 02 ab 01 2f 02
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   06 00           ac 02 33 02 c5 02 1c 02 e5 02 21 02 e1 02 31 02 ba 02 42 02 a4 02 45 02
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   09 00           04 03 7b 01 30 03 5b 01 45 03 5c 01 35 03 6d 01 3b 03 77 01 2e 03 83 01 1c 03 92 01 02 03 9c 01 18 03 8c 01
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   09 00           4a 02 73 00 4a 02 80 00 38 02 7c 00 38 02 8e 00 26 02 89 00 07 02 79 00 00 02 66 00 13 02 53 00 52 02 47 00
06 00 00 80 3f 00 00 80 3f 64 00 00 00 00   06 00           1e 03 c2 00 55 03 ba 00 be 03 d5 00 a7 03 ea 00 86 03 f2 00 46 03 e6 00
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   13 00           9a 04 11 00 3b 05 4f 00 2a 05 61 00 57 05 75 00 4e 05 7d 00 39 05 75 00 2a 05 6a 00 17 05 6d 00 11 05 76 00 fe 04 6e 00 f3 04 73 00 ec 04 6e 00 f5 04 60 00 ed 04 56 00 d7 04 53 00 c8 04 4a 00 c1 04 3b 00 b4 04 34 00 9f 04 31 00
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   0e 00           70 05 7e 00 87 05 70 00 a4 05 7a 00 97 05 8d 00 cd 05 a4 00 ca 05 b5 00 b9 05 bc 00 be 05 cf 00 ce 05 dc 00 c0 05 e4 00 af 05 de 00 95 05 a9 00 98 05 99 00 78 05 8a 00
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   0d 00           6f 03 bb 01 9a 03 b4 01 ac 03 ba 01 a3 03 c3 01 92 03 c8 01 95 03 d2 01 a3 03 d5 01 b0 03 df 01 a7 03 e7 01 87 03 ed 01 78 03 e5 01 7c 03 db 01 6c 03 d2 01
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   2c 00           18 04 86 01 2f 04 71 01 45 04 76 01 54 04 72 01 65 04 77 01 72 04 93 01 82 04 b4 01 8f 04 c6 01 ac 04 cc 01 bb 04 c6 01 b9 04 ba 01 d5 04 be 01 e8 04 c6 01 f6 04 bb 01 13 05 b8 01 1c 05 c9 01 27 05 ea 01 f6 04 ef 01 cf 04 e8 01 b2 04 e0 01 ab 04 cf 01 83 04 cc 01 05 04 f1 01 b8 03 22 02 97 03 29 02 8c 03 36 02 85 03 2f 02 8c 03 22 02 80 03 1a 02 7e 03 10 02 8c 03 0e 02 99 03 05 02 b3 03 04 02 ba 03 f8 01 b1 03 f4 01 b9 03 e1 01 b6 03 d6 01 b9 03 c6 01 bb 03 be 01 b4 03 bb 01 ba 03 ae 01 ca 03 a6 01 e8 03 a5 01 e5 03 92 01
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           00 00 e2 02 45 01 e6 02 a2 01 98 03 00 00 ae 04
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   09 00           8f 04 2d 04 cb 04 39 04 a9 05 75 04 d1 05 9a 04 10 06 2e 05 f3 05 7f 05 d3 05 bb 05 40 05 42 06 d6 02 64 05
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   03 00           3e 06 bb 05 3e 06 84 06 a4 05 50 06
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   0e 00           4b 05 f1 01 64 05 e2 01 7f 05 e3 01 93 05 fa 01 ab 05 f8 01 d6 05 b8 01 f7 05 b3 01 0c 06 ae 01 1a 06 8d 01 36 06 8b 01 3e 06 92 01 3e 06 26 02 82 05 06 02 65 05 03 02
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   06 00           4b 05 42 02 63 05 34 02 7f 05 38 02 88 05 51 02 6c 05 5b 02 58 05 5d 02
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   0b 00           82 04 37 02 a4 04 3d 02 d8 04 53 02 d9 04 61 02 bd 04 64 02 b0 04 73 02 bb 04 78 02 88 04 81 02 83 04 8e 02 75 04 8e 02 56 04 8b 02
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   09 00           c4 04 a3 02 e8 04 a1 02 ec 04 ad 02 10 05 a8 02 1c 05 b1 02 0c 05 bb 02 e3 04 c4 02 dd 04 d0 02 c9 04 ca 02
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   05 00           63 05 fc 02 cd 05 9d 02 ee 05 b8 02 ed 05 d0 02 a5 05 11 03
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   05 00           4c 05 13 03 6f 05 1a 03 7d 05 2b 03 6d 05 61 03 0e 05 4d 03
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   1d 00           66 04 1b 03 99 04 1c 03 e4 04 2e 03 f2 04 44 03 0e 05 28 03 19 05 30 03 f4 04 59 03 23 05 68 03 0f 05 79 03 ca 04 60 03 b9 04 60 03 ba 04 49 03 a5 04 53 03 8b 04 55 03 7a 04 45 03 63 04 40 03 57 04 35 03 2c 04 30 03 2a 04 21 03 12 04 23 03 f6 03 19 03 e3 03 12 03 da 03 16 03 d1 03 0f 03 8c 03 f2 02 83 03 e6 02 58 03 db 02 61 03 d5 02 81 03 dc 02
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   0b 00           f4 02 6b 02 34 03 bb 02 36 03 d0 02 20 03 c9 02 1f 03 b9 02 0b 03 be 02 ef 02 c6 02 e0 02 b9 02 d5 02 a3 02 d9 02 86 02 de 02 75 02
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           01 05 91 03 14 05 8b 03 22 05 9b 03 dc 04 e5 03
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   08 00           54 04 6c 03 75 04 71 03 91 04 79 03 9a 04 91 03 a4 04 96 03 a2 04 a5 03 9f 04 b1 03 8f 04 c2 03
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   07 00           07 02 72 05 12 02 6d 05 1e 02 71 05 22 02 7f 05 0d 02 8f 05 f5 01 91 05 eb 01 8b 05
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           01 00 41 05 e9 00 80 05 79 00 43 06 00 00 1f 06
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   04 00           22 02 f3 05 bf 02 24 06 88 02 62 06 f4 01 33 06
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   06 00           d4 02 9c 06 16 03 a7 06 9f 03 26 06 c6 03 31 06 0b 03 f6 06 88 02 e4 06
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   15 00           31 03 f5 06 ee 03 35 06 0e 05 ac 06 49 05 d9 06 4c 05 f7 06 2c 05 31 07 e5 04 6b 07 9a 04 99 07 2d 04 ca 07 db 03 c3 07 df 03 58 07 17 04 46 07 71 04 e3 06 76 04 b8 06 5d 04 a7 06 2a 04 9e 06 f9 03 b0 06 f0 03 f2 06 dd 03 01 07 b5 03 04 07 a2 03 0f 07
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   11 00           51 05 92 06 3e 06 e5 06 3e 06 9d 07 ad 04 b7 08 03 04 80 08 37 03 31 08 b5 01 c6 07 45 02 0f 07 89 03 3f 07 b2 03 e1 07 2c 04 e3 07 b1 04 b3 07 18 05 74 07 61 05 29 07 74 05 ee 06 63 05 cc 06 42 05 ae 06
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   0a 00           46 00 53 07 59 00 3a 07 81 00 2e 07 b2 00 36 07 ce 00 46 07 d4 00 61 07 bf 00 79 07 92 00 83 07 66 00 7c 07 4d 00 6e 07
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   07 00           db 01 e8 06 fe 01 f7 06 b5 01 40 07 99 01 43 07 27 01 1f 07 38 01 0b 07 8f 01 25 07
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   07 00           00 00 73 06 6e 00 91 06 53 00 ba 06 c3 00 de 06 aa 00 f7 06 3c 00 d4 06 00 00 ca 06
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   0d 00           6b 01 1f 08 32 04 0a 09 d6 03 3f 09 6b 00 3f 09 af 00 db 08 0d 01 b6 08 2c 01 e2 08 52 01 e2 08 7f 01 c2 08 63 01 a5 08 18 01 a2 08 01 01 ac 08 0d 01 75 08
04 00 00 80 3f 00 00 80 3f 64 00 00 00 00   06 00           00 00 96 07 b5 00 e5 07 bc 00 f4 07 aa 00 05 08 42 00 ea 07 00 00 42 08
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   08 00           8b 00 53 02 d8 00 79 02 d7 00 81 02 c2 00 7f 02 bc 00 87 02 ab 00 81 02 ab 00 71 02 8b 00 60 02
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   06 00           a2 01 7e 00 27 02 01 00 27 03 00 00 f7 02 11 00 23 02 1a 00 b1 01 82 00
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   0d 00           8f 04 87 00 b6 04 7f 00 ca 04 93 00 ba 04 9c 00 a8 04 9c 00 b5 04 aa 00 99 04 c4 00 82 04 bf 00 76 04 ce 00 77 04 db 00 5d 04 eb 00 2d 04 f0 00 3f 04 d9 00
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   05 00           00 00 31 00 54 00 4e 00 71 00 39 00 ad 00 01 00 00 00 00 00
03 00 00 80 3f 00 00 80 3f 64 00 00 00 00   0e 00           87 00 4a 00 87 00 33 00 c6 00 00 00 ee 01 00 00 5b 01 8c 00 1c 01 76 00 0d 01 65 00 0a 01 47 00 ee 00 2c 00 d2 00 3a 00 b0 00 39 00 a0 00 48 00 c4 00 43 00 c0 00 5e 00
